"","Latitude","Longitude"
"860",54.20138,16.57641
"861",54.20121,16.57664
"862",54.20104,16.57686
"863",54.20097,16.57697
"864",54.20089,16.57707
"865",54.20082,16.57719
"866",54.20074,16.57729
"867",54.2006,16.57749
"868",54.20053,16.57762
"869",54.20042,16.57787
"870",54.20036,16.57798
"871",54.20024,16.57825
"872",54.20018,16.57839
"873",54.20003,16.57863
"874",54.19985,16.57885
"875",54.19976,16.57897
"876",54.19958,16.57918
"877",54.1994,16.57929
"878",54.19924,16.5794
"879",54.19912,16.57951
"880",54.19906,16.57957
"881",54.19895,16.57964
"882",54.19889,16.57975
"883",54.19888,16.57982
"884",54.19892,16.57993
"885",54.19895,16.58004
"886",54.19896,16.5801
"887",54.19897,16.58014
"888",54.19897,16.5802
"889",54.19907,16.58036
"890",54.19912,16.58047
"891",54.19925,16.58069
"892",54.19932,16.58097
"893",54.19937,16.58103
"894",54.19939,16.58111
"895",54.19942,16.5812
"896",54.19948,16.58137
"897",54.19952,16.58144
"898",54.19955,16.58155
"899",54.19961,16.58172
"900",54.19965,16.58182
"901",54.19968,16.58195
"902",54.19979,16.58215
"903",54.19984,16.58226
"904",54.19996,16.58253
"905",54.20004,16.58279
"906",54.20009,16.58297
"907",54.20022,16.58323
"908",54.20033,16.58351
"909",54.20044,16.58381
"910",54.20054,16.58405
"911",54.2006,16.58421
"912",54.20073,16.58449
"913",54.20083,16.58481
"914",54.20089,16.58495
"915",54.20097,16.58509
"916",54.20107,16.58538
"917",54.20114,16.58571
"918",54.20115,16.58588
"919",54.20116,16.5862
"920",54.20118,16.58651
"921",54.20114,16.58698
"922",54.20117,16.58735
"923",54.20118,16.5876
"924",54.20119,16.58774
"925",54.20123,16.58805
"926",54.20125,16.58819
"927",54.20128,16.58836
"928",54.20128,16.58854
"929",54.2013,16.58892
"930",54.20133,16.58912
"931",54.20133,16.58961
"932",54.20133,16.58984
"933",54.20135,16.59029
"934",54.20136,16.5905
"935",54.20139,16.59092
"936",54.20138,16.59114
"937",54.20144,16.59162
"938",54.20144,16.59184
"939",54.20144,16.59206
"940",54.20145,16.59224
"941",54.20146,16.59244
"942",54.20146,16.59265
"943",54.20149,16.59313
"944",54.20151,16.59341
"945",54.20153,16.59362
"946",54.20154,16.59403
"947",54.20155,16.5943
"948",54.20156,16.59456
"949",54.20158,16.5951
"950",54.20157,16.59545
"951",54.20157,16.59577
"952",54.20159,16.59606
"953",54.20161,16.59659
"954",54.20166,16.59676
"955",54.20169,16.59727
"956",54.20169,16.59752
"957",54.2017,16.59804
"958",54.20173,16.59825
"959",54.20174,16.59877
"960",54.20179,16.5992
"961",54.20178,16.5995
"962",54.20183,16.59993
"963",54.20186,16.60038
"964",54.20187,16.60062
"965",54.20187,16.60088
"966",54.20188,16.60139
"967",54.20191,16.60181
"968",54.20191,16.60208
"969",54.2019,16.60263
"970",54.20196,16.60299
"971",54.20197,16.6032
"972",54.202,16.60342
"973",54.20201,16.60387
"974",54.20204,16.60408
"975",54.20201,16.60443
"976",54.20202,16.60482
"977",54.20203,16.6052
"978",54.20205,16.60537
"979",54.20211,16.60576
"980",54.20211,16.60626
"981",54.20211,16.60653
"982",54.20214,16.60702
"983",54.20217,16.6075
"984",54.2022,16.608
"985",54.20221,16.60851
"986",54.20223,16.60877
"987",54.20225,16.60906
"988",54.20228,16.60963
"989",54.20229,16.61018
"990",54.20231,16.61064
"991",54.20233,16.61091
"992",54.20235,16.6115
"993",54.20238,16.61198
"994",54.2024,16.61226
"995",54.20242,16.61285
"996",54.20241,16.61334
"997",54.20237,16.61389
"998",54.20234,16.61411
"999",54.2023,16.61462
"1000",54.20229,16.61513
"1001",54.20228,16.61537
"1002",54.20222,16.6159
"1003",54.20212,16.61644
"1004",54.20209,16.61668
"1005",54.20207,16.61714
"1006",54.20202,16.6176
"1007",54.20199,16.61782
"1008",54.20191,16.61822
"1009",54.20187,16.61844
"1010",54.20182,16.61867
"1011",54.20174,16.6191
"1012",54.20168,16.61953
"1013",54.20164,16.61976
"1014",54.20158,16.62033
"1015",54.20152,16.62078
"1016",54.20145,16.62123
"1017",54.20142,16.62145
"1018",54.20137,16.62189
"1019",54.20132,16.62234
"1020",54.2013,16.62255
"1021",54.20124,16.62299
"1022",54.20122,16.62323
"1023",54.20116,16.6237
"1024",54.20114,16.6239
"1025",54.20107,16.62437
"1026",54.20103,16.62483
"1027",54.20096,16.62539
"1028",54.20092,16.62565
"1029",54.20084,16.62623
"1030",54.20077,16.62684
"1031",54.20074,16.62715
"1032",54.20071,16.62742
"1033",54.20065,16.62796
"1034",54.20061,16.62821
"1035",54.20055,16.62866
"1036",54.20052,16.62887
"1037",54.20045,16.62929
"1038",54.20043,16.6295
"1039",54.2004,16.62972
"1040",54.20038,16.62992
"1041",54.20035,16.63011
"1042",54.2003,16.63059
"1043",54.20027,16.6308
"1044",54.20022,16.63117
"1045",54.2002,16.63138
"1046",54.20014,16.63175
"1047",54.2001,16.63215
"1048",54.20007,16.63237
"1049",54.20006,16.63249
"1050",54.20003,16.6328
"1051",54.2,16.63307
"1052",54.19996,16.63328
"1053",54.19993,16.63351
"1054",54.19991,16.63364
"1055",54.19987,16.63394
"1056",54.19985,16.63424
"1057",54.19986,16.6344
"1058",54.19985,16.63478
"1059",54.19986,16.63497
"1060",54.19986,16.63518
"1061",54.19988,16.63555
"1062",54.19988,16.63596
"1063",54.19988,16.63618
"1064",54.19989,16.6366
